frame_num,drill_jumbo_cx,drill_jumbo_cy,gunpowder_carrier_cx,gunpowder_carrier_cy,work platform_cx,work platform_cy,breaker_cx,breaker_cy,excavator_cx,excavator_cy,payloader_cx,payloader_cy,dump_truck_cx,dump_truck_cy,sprayer_cx,sprayer_cy,h_beam_holder_cx,h_beam_holder_cy,mixer_truck_cx,mixer_truck_cy,mortar_trolley_truck_cx,mortar_trolley_truck_cy,activity
1,0.492578,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574219,0.779861,F
2,0.492969,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574219,0.779861,F
3,0.492188,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779861,F
4,0.491797,0.553472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
5,0.491797,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
6,0.491797,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
7,0.491797,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779861,F
8,0.492578,0.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779861,F
9,0.493359,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779861,F
10,0.492578,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574219,0.779167,F
11,0.492188,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573438,0.779861,F
12,0.492578,0.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.778472,F
13,0.492578,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574219,0.779167,F
14,0.491406,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574219,0.779167,F
15,0.491797,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574219,0.778472,F
16,0.492969,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
17,0.491797,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
18,0.492578,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
19,0.49375,0.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573438,0.779167,F
20,0.493359,0.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573438,0.778472,F
21,0.493359,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.778472,F
22,0.493359,0.553472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573438,0.778472,F
23,0.493359,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
24,0.49375,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573438,0.778472,F
25,0.494922,0.554861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.777778,F
26,0.494141,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.778472,F
27,0.493359,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
28,0.493359,0.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
29,0.494141,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573828,0.779167,F
