,PeakTime
0,4336
1,4360
2,4375
3,4396
4,4437
5,4458
6,4476
7,4494
8,4519
9,4598
10,4622
11,4642
12,4660
13,4677
14,4749
15,4770
16,4789
17,4810
18,4827
19,4895
20,4922
21,4942
22,4965
23,4983
24,5054
25,5074
26,5093
27,5114
28,5130
29,5201
30,5219
31,5238
32,5265
33,5283
34,5345
35,5356
36,5375
37,5394
38,5413
39,5428
40,5486
41,5503
42,5523
43,5541
44,5560
45,5590
46,5664
47,5684
48,5705
49,5715
50,5744
51,5764
52,5831
53,5852
54,5874
55,5900
56,5925
57,5949
58,6129
59,6154
60,6179
61,6206
62,6225
63,6270
64,6297
65,6322
66,6348
67,6379
68,6410
69,6434
70,6554
71,6578
72,6602
73,6632
74,6668
75,6714
76,6736
