               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012971,           0.0080338,           0.0014892,             0.97422,             0.91884,             0.96196,             0.76294,            0.016223,            0.014056,           0.0018238,           0.0033333,           0.0033333,            0.070001
                   1,            0.014485,           0.0084561,           0.0016229,             0.97562,             0.91781,             0.94737,             0.74995,             0.01618,            0.014247,            0.002062,            0.006652,            0.006652,            0.039986
                   2,            0.017077,           0.0095616,           0.0023251,             0.97819,             0.94114,             0.97019,             0.77049,            0.015992,            0.012439,           0.0018917,           0.0099125,           0.0099125,           0.0099132
                   3,            0.018636,            0.010561,           0.0030457,             0.97754,             0.94526,             0.97104,             0.77124,            0.015979,            0.012246,           0.0018509,           0.0098042,           0.0098042,           0.0098042
                   4,            0.017874,            0.010154,           0.0026751,             0.97708,             0.94443,              0.9718,             0.77023,            0.016037,            0.012245,           0.0018161,           0.0098042,           0.0098042,           0.0098042
                   5,            0.017235,           0.0098427,           0.0023715,             0.97705,             0.94231,             0.97213,             0.77103,            0.016015,            0.012285,           0.0018162,           0.0096542,           0.0096542,           0.0096542
                   6,            0.017186,           0.0098585,           0.0024604,             0.97695,             0.94655,             0.97237,             0.77073,            0.016036,             0.01215,           0.0018022,           0.0094641,           0.0094641,           0.0094641
                   7,            0.016853,           0.0096938,           0.0023326,             0.97742,             0.95669,             0.97349,             0.77217,            0.016015,            0.011931,           0.0017877,           0.0092361,           0.0092361,           0.0092361
                   8,            0.016895,           0.0097404,           0.0024496,             0.97905,             0.96297,             0.97479,             0.77341,            0.015996,            0.011792,           0.0017734,           0.0089726,           0.0089726,           0.0089726
                   9,              0.0166,           0.0095953,           0.0022692,             0.97961,             0.96553,             0.97461,             0.77411,            0.015986,            0.011782,           0.0017782,           0.0086765,           0.0086765,           0.0086765
                  10,            0.016442,           0.0095106,           0.0022115,             0.97923,             0.96604,             0.97476,             0.77453,            0.015982,             0.01182,           0.0017748,           0.0083511,           0.0083511,           0.0083511
                  11,            0.016447,           0.0094992,           0.0023112,             0.97993,             0.96651,             0.97483,             0.77473,            0.015986,            0.011801,           0.0017831,               0.008,               0.008,               0.008
                  12,             0.01635,            0.009511,           0.0022631,             0.97926,             0.96567,             0.97408,             0.77349,            0.016013,            0.011907,           0.0017915,           0.0076269,           0.0076269,           0.0076269
                  13,            0.016119,           0.0094506,           0.0022072,             0.97821,             0.96357,              0.9737,               0.773,            0.016037,            0.011948,           0.0018053,           0.0072361,           0.0072361,           0.0072361
                  14,            0.015857,           0.0092769,           0.0020682,             0.97838,             0.96152,             0.97339,             0.77284,            0.016048,            0.011985,           0.0018018,           0.0068316,           0.0068316,           0.0068316
                  15,            0.015656,            0.009173,            0.002044,             0.97812,             0.95726,             0.97305,              0.7723,             0.01606,            0.012053,           0.0017934,           0.0064181,           0.0064181,           0.0064181
                  16,            0.015473,           0.0090762,           0.0019793,             0.97669,             0.95351,             0.97325,             0.77272,             0.01607,            0.012134,           0.0017901,               0.006,               0.006,               0.006
                  17,            0.015287,           0.0090201,           0.0019461,             0.97771,             0.95412,             0.97327,              0.7732,            0.016056,            0.012145,           0.0017918,           0.0055819,           0.0055819,           0.0055819
                  18,            0.015168,           0.0089705,           0.0019305,             0.97826,             0.95893,             0.97352,             0.77311,             0.01605,            0.012113,           0.0018023,           0.0051684,           0.0051684,           0.0051684
                  19,            0.015034,           0.0089349,           0.0019211,             0.97858,             0.96125,             0.97319,              0.7723,             0.01606,            0.012143,           0.0017995,           0.0047639,           0.0047639,           0.0047639
                  20,            0.014695,           0.0087954,           0.0018122,             0.97933,             0.96503,             0.97353,             0.77216,            0.016073,            0.012116,           0.0017993,           0.0043731,           0.0043731,           0.0043731
                  21,            0.014534,           0.0086915,           0.0017696,             0.98123,             0.96672,              0.9736,             0.77232,             0.01608,            0.012049,           0.0017993,               0.004,               0.004,               0.004
                  22,            0.014359,           0.0086076,           0.0017867,             0.98126,             0.96752,             0.97308,             0.77207,             0.01607,            0.012064,           0.0017988,           0.0036489,           0.0036489,           0.0036489
                  23,            0.014187,           0.0085467,           0.0017405,             0.98141,              0.9673,             0.97242,             0.77162,            0.016084,            0.012104,           0.0018119,           0.0033235,           0.0033235,           0.0033235
                  24,            0.013897,           0.0084183,           0.0016623,              0.9823,             0.96599,             0.97239,             0.77191,            0.016084,            0.012159,           0.0018154,           0.0030274,           0.0030274,           0.0030274
                  25,            0.013757,           0.0083415,           0.0016217,             0.98169,             0.96578,             0.97137,             0.77085,            0.016084,            0.012207,           0.0018198,           0.0027639,           0.0027639,           0.0027639
                  26,            0.013638,           0.0083244,           0.0016248,              0.9827,              0.9644,             0.97068,             0.77062,            0.016073,            0.012272,           0.0018318,           0.0025359,           0.0025359,           0.0025359
                  27,            0.013527,           0.0082512,           0.0016021,              0.9831,             0.96322,             0.96988,             0.77029,            0.016057,            0.012303,           0.0018349,           0.0023458,           0.0023458,           0.0023458
                  28,              0.0134,           0.0081638,            0.001553,             0.98268,             0.96358,             0.96961,             0.77049,            0.016034,            0.012318,           0.0018406,           0.0021958,           0.0021958,           0.0021958
                  29,            0.013276,           0.0081111,           0.0015496,             0.98213,             0.96374,             0.96931,             0.77034,             0.01602,            0.012332,           0.0018484,           0.0020874,           0.0020874,           0.0020874
